Loan_ID,Customer ID,ApplicantIncome,CoapplicantIncome,Property_Area,Loan_Status
LP001002,IP43001,5849,0,Urban,Y
LP001003,IP43002,4583,1508,Rural,N
LP001005,IP43003,3000,0,Urban,Y
LP001006,IP43004,2583,2358,Urban,Y
LP001008,IP43005,6000,0,Urban,Y
LP001011,IP43006,5417,4196,Urban,Y
LP001013,IP43007,2333,1516,Urban,Y
LP001014,IP43008,3036,2504,Semiurban,N
LP001018,IP43009,4006,1526,Urban,Y
LP001020,IP43010,12841,10968,Semiurban,N
LP001024,IP43011,3200,700,Urban,Y
LP001027,IP43012,2500,1840,Urban,Y
LP001028,IP43013,3073,8106,Urban,Y
LP001029,IP43014,1853,2840,Rural,N
LP001030,IP43015,1299,1086,Urban,Y
LP001032,IP43016,4950,0,Urban,Y
LP001034,IP43017,3596,0,Urban,Y
LP001036,IP43018,3510,0,Urban,N
LP001038,IP43019,4887,0,Rural,N
LP001041,IP43020,2600,3500,Urban,Y
LP001043,IP43021,7660,0,Urban,N
LP001046,IP43022,5955,5625,Urban,Y
LP001047,IP43023,2600,1911,Semiurban,N
LP001050,IP43024,3365,1917,Rural,N
LP001052,IP43025,3717,2925,Semiurban,N
LP001066,IP43026,9560,0,Semiurban,Y
LP001068,IP43027,2799,2253,Semiurban,Y
LP001073,IP43028,4226,1040,Urban,Y
LP001086,IP43029,1442,0,Urban,N
LP001087,IP43030,3750,2083,Semiurban,Y
LP001091,IP43031,4166,3369,Urban,N
LP001095,IP43032,3167,0,Urban,N
LP001097,IP43033,4692,0,Rural,N
LP001098,IP43034,3500,1667,Semiurban,Y
LP001100,IP43035,12500,3000,Rural,N
LP001106,IP43036,2275,2067,Urban,Y
LP001109,IP43037,1828,1330,Urban,N
LP001112,IP43038,3667,1459,Semiurban,Y
LP001114,IP43039,4166,7210,Urban,Y
LP001116,IP43040,3748,1668,Semiurban,Y
LP001119,IP43041,3600,0,Urban,N
LP001120,IP43042,1800,1213,Urban,Y
LP001123,IP43043,2400,0,Urban,Y
LP001131,IP43044,3941,2336,Semiurban,Y
LP001136,IP43045,4695,0,Urban,Y
LP001137,IP43046,3410,0,Urban,Y
LP001138,IP43047,5649,0,Urban,Y
LP001144,IP43048,5821,0,Urban,Y
LP001146,IP43049,2645,3440,Urban,N
LP001151,IP43050,4000,2275,Semiurban,Y
LP001155,IP43051,1928,1644,Semiurban,Y
LP001157,IP43052,3086,0,Semiurban,Y
LP001164,IP43053,4230,0,Semiurban,N
LP001179,IP43054,4616,0,Urban,N
LP001186,IP43055,11500,0,Urban,N
LP001194,IP43056,2708,1167,Semiurban,Y
LP001195,IP43057,2132,1591,Semiurban,Y
LP001197,IP43058,3366,2200,Rural,N
LP001198,IP43059,8080,2250,Urban,Y
LP001199,IP43060,3357,2859,Urban,Y
LP001205,IP43061,2500,3796,Urban,Y
LP001206,IP43062,3029,0,Urban,Y
LP001207,IP43063,2609,3449,Rural,N
LP001213,IP43064,4945,0,Rural,N
LP001222,IP43065,4166,0,Semiurban,N
LP001225,IP43066,5726,4595,Semiurban,N
LP001228,IP43067,3200,2254,Urban,N
LP001233,IP43068,10750,0,Urban,Y
LP001238,IP43069,7100,0,Urban,Y
LP001241,IP43070,4300,0,Semiurban,N
LP001243,IP43071,3208,3066,Urban,Y
LP001245,IP43072,1875,1875,Semiurban,Y
LP001248,IP43073,3500,0,Semiurban,Y
LP001250,IP43074,4755,0,Semiurban,N
LP001253,IP43075,5266,1774,Semiurban,Y
LP001255,IP43076,3750,0,Urban,N
LP001256,IP43077,3750,4750,Urban,N
LP001259,IP43078,1000,3022,Urban,N
LP001263,IP43079,3167,4000,Semiurban,N
LP001264,IP43080,3333,2166,Semiurban,Y
LP001265,IP43081,3846,0,Semiurban,Y
LP001266,IP43082,2395,0,Semiurban,Y
LP001267,IP43083,1378,1881,Urban,N
LP001273,IP43084,6000,2250,Semiurban,N
LP001275,IP43085,3988,0,Urban,Y
LP001279,IP43086,2366,2531,Semiurban,Y
LP001280,IP43087,3333,2000,Semiurban,Y
LP001282,IP43088,2500,2118,Semiurban,Y
LP001289,IP43089,8566,0,Urban,Y
LP001310,IP43090,5695,4167,Semiurban,Y
LP001316,IP43091,2958,2900,Semiurban,Y
LP001318,IP43092,6250,5654,Semiurban,Y
LP001319,IP43093,3273,1820,Urban,Y
LP001322,IP43094,4133,0,Semiurban,Y
LP001325,IP43095,3620,0,Semiurban,Y
LP001326,IP43096,6782,0,Urban,N
LP001327,IP43097,2484,2302,Semiurban,Y
LP001333,IP43098,1977,997,Semiurban,Y
LP001334,IP43099,4188,0,Semiurban,Y
LP001343,IP43100,1759,3541,Semiurban,Y
LP001345,IP43101,4288,3263,Urban,Y
LP001349,IP43102,4843,3806,Semiurban,Y
LP001350,IP43103,13650,0,Urban,Y
LP001356,IP43104,4652,3583,Semiurban,Y
LP001357,IP43105,3816,754,Urban,Y
LP001367,IP43106,3052,1030,Urban,Y
LP001369,IP43107,11417,1126,Urban,Y
LP001370,IP43108,7333,0,Rural,N
LP001379,IP43109,3800,3600,Urban,N
LP001384,IP43110,2071,754,Semiurban,Y
LP001385,IP43111,5316,0,Urban,Y
LP001387,IP43112,2929,2333,Semiurban,Y
LP001391,IP43113,3572,4114,Rural,N
LP001392,IP43114,7451,0,Semiurban,Y
LP001398,IP43115,5050,0,Semiurban,Y
LP001401,IP43116,14583,0,Rural,Y
LP001404,IP43117,3167,2283,Semiurban,Y
LP001405,IP43118,2214,1398,Urban,Y
LP001421,IP43119,5568,2142,Rural,N
LP001422,IP43120,10408,0,Urban,Y
LP001426,IP43121,5667,2667,Rural,Y
LP001430,IP43122,4166,0,Semiurban,Y
LP001431,IP43123,2137,8980,Semiurban,Y
LP001432,IP43124,2957,0,Semiurban,Y
LP001439,IP43125,4300,2014,Rural,Y
LP001443,IP43126,3692,0,Rural,Y
LP001448,IP43127,23803,0,Rural,Y
LP001449,IP43128,3865,1640,Rural,Y
LP001451,IP43129,10513,3850,Urban,N
LP001465,IP43130,6080,2569,Rural,N
LP001469,IP43131,20166,0,Urban,Y
LP001473,IP43132,2014,1929,Urban,Y
LP001478,IP43133,2718,0,Semiurban,Y
LP001482,IP43134,3459,0,Semiurban,Y
LP001487,IP43135,4895,0,Semiurban,Y
LP001488,IP43136,4000,7750,Semiurban,N
LP001489,IP43137,4583,0,Rural,N
LP001491,IP43138,3316,3500,Urban,Y
LP001492,IP43139,14999,0,Semiurban,N
LP001493,IP43140,4200,1430,Rural,N
LP001497,IP43141,5042,2083,Rural,N
LP001498,IP43142,5417,0,Urban,Y
LP001504,IP43143,6950,0,Semiurban,Y
LP001507,IP43144,2698,2034,Semiurban,Y
LP001508,IP43145,11757,0,Urban,Y
LP001514,IP43146,2330,4486,Semiurban,Y
LP001516,IP43147,14866,0,Urban,Y
LP001518,IP43148,1538,1425,Urban,Y
LP001519,IP43149,10000,1666,Rural,N
LP001520,IP43150,4860,830,Semiurban,Y
LP001528,IP43151,6277,0,Rural,N
LP001529,IP43152,2577,3750,Rural,Y
LP001531,IP43153,9166,0,Urban,N
LP001532,IP43154,2281,0,Rural,N
LP001535,IP43155,3254,0,Urban,Y
LP001536,IP43156,39999,0,Semiurban,Y
LP001541,IP43157,6000,0,Rural,Y
LP001543,IP43158,9538,0,Urban,Y
LP001546,IP43159,2980,2083,Rural,Y
LP001552,IP43160,4583,5625,Semiurban,Y
LP001560,IP43161,1863,1041,Semiurban,Y
LP001562,IP43162,7933,0,Urban,N
LP001565,IP43163,3089,1280,Semiurban,N
LP001570,IP43164,4167,1447,Rural,Y
LP001572,IP43165,9323,0,Urban,Y
LP001574,IP43166,3707,3166,Rural,Y
LP001577,IP43167,4583,0,Rural,N
LP001578,IP43168,2439,3333,Rural,Y
LP001579,IP43169,2237,0,Semiurban,N
LP001580,IP43170,8000,0,Semiurban,Y
LP001581,IP43171,1820,1769,Rural,Y
LP001585,IP43172,51763,0,Urban,Y
LP001586,IP43173,3522,0,Rural,N
LP001594,IP43174,5708,5625,Semiurban,Y
LP001603,IP43175,4344,736,Semiurban,N
LP001606,IP43176,3497,1964,Rural,Y
LP001608,IP43177,2045,1619,Rural,Y
LP001610,IP43178,5516,11300,Semiurban,N
LP001616,IP43179,3750,0,Semiurban,Y
LP001630,IP43180,2333,1451,Urban,N
LP001633,IP43181,6400,7250,Urban,N
LP001634,IP43182,1916,5063,Rural,N
LP001636,IP43183,4600,0,Semiurban,Y
LP001637,IP43184,33846,0,Semiurban,N
LP001639,IP43185,3625,0,Semiurban,Y
LP001640,IP43186,39147,4750,Semiurban,Y
LP001641,IP43187,2178,0,Rural,N
LP001643,IP43188,2383,2138,Rural,Y
LP001644,IP43189,674,5296,Rural,Y
LP001647,IP43190,9328,0,Rural,Y
LP001653,IP43191,4885,0,Rural,Y
LP001656,IP43192,12000,0,Semiurban,N
LP001657,IP43193,6033,0,Urban,N
LP001658,IP43194,3858,0,Semiurban,Y
LP001664,IP43195,4191,0,Rural,Y
LP001665,IP43196,3125,2583,Semiurban,N
LP001666,IP43197,8333,3750,Rural,Y
LP001669,IP43198,1907,2365,Urban,Y
LP001671,IP43199,3416,2816,Semiurban,Y
LP001673,IP43200,11000,0,Urban,N
LP001674,IP43201,2600,2500,Semiurban,Y
LP001677,IP43202,4923,0,Semiurban,Y
LP001682,IP43203,3992,0,Urban,N
LP001688,IP43204,3500,1083,Urban,Y
LP001691,IP43205,3917,0,Semiurban,Y
LP001692,IP43206,4408,0,Semiurban,Y
LP001693,IP43207,3244,0,Urban,Y
LP001698,IP43208,3975,2531,Rural,Y
LP001699,IP43209,2479,0,Urban,Y
LP001702,IP43210,3418,0,Semiurban,N
LP001708,IP43211,10000,0,Semiurban,N
LP001711,IP43212,3430,1250,Semiurban,N
LP001713,IP43213,7787,0,Urban,Y
LP001715,IP43214,5703,0,Rural,Y
LP001716,IP43215,3173,3021,Urban,Y
LP001720,IP43216,3850,983,Semiurban,Y
LP001722,IP43217,150,1800,Rural,N
LP001726,IP43218,3727,1775,Semiurban,Y
LP001732,IP43219,5000,0,Semiurban,N
LP001734,IP43220,4283,2383,Semiurban,Y
LP001736,IP43221,2221,0,Urban,N
LP001743,IP43222,4009,1717,Semiurban,Y
LP001744,IP43223,2971,2791,Semiurban,Y
LP001749,IP43224,7578,1010,Semiurban,Y
LP001750,IP43225,6250,0,Semiurban,Y
LP001751,IP43226,3250,0,Rural,N
LP001754,IP43227,4735,0,Urban,N
LP001758,IP43228,6250,1695,Semiurban,Y
LP001760,IP43229,4758,0,Semiurban,Y
LP001761,IP43230,6400,0,Rural,Y
LP001765,IP43231,2491,2054,Semiurban,Y
LP001768,IP43232,3716,0,Rural,Y
LP001770,IP43233,3189,2598,Rural,Y
LP001776,IP43234,8333,0,Semiurban,Y
LP001778,IP43235,3155,1779,Semiurban,Y
LP001784,IP43236,5500,1260,Rural,Y
LP001786,IP43237,5746,0,Urban,N
LP001788,IP43238,3463,0,Urban,Y
LP001790,IP43239,3812,0,Rural,Y
LP001792,IP43240,3315,0,Semiurban,Y
LP001798,IP43241,5819,5000,Rural,Y
LP001800,IP43242,2510,1983,Urban,N
LP001806,IP43243,2965,5701,Urban,Y
LP001807,IP43244,6250,1300,Rural,Y
LP001811,IP43245,3406,4417,Semiurban,Y
LP001813,IP43246,6050,4333,Urban,N
LP001814,IP43247,9703,0,Urban,Y
LP001819,IP43248,6608,0,Urban,Y
LP001824,IP43249,2882,1843,Semiurban,Y
LP001825,IP43250,1809,1868,Urban,Y
LP001835,IP43251,1668,3890,Semiurban,N
LP001836,IP43252,3427,0,Urban,N
LP001841,IP43253,2583,2167,Rural,Y
LP001843,IP43254,2661,7101,Semiurban,Y
LP001844,IP43255,16250,0,Urban,N
LP001846,IP43256,3083,0,Rural,Y
LP001849,IP43257,6045,0,Rural,N
LP001854,IP43258,5250,0,Urban,N
LP001859,IP43259,14683,2100,Rural,N
LP001864,IP43260,4931,0,Semiurban,N
LP001865,IP43261,6083,4250,Urban,Y
LP001868,IP43262,2060,2209,Semiurban,Y
LP001870,IP43263,3481,0,Semiurban,N
LP001871,IP43264,7200,0,Rural,Y
LP001872,IP43265,5166,0,Semiurban,Y
LP001875,IP43266,4095,3447,Rural,Y
LP001877,IP43267,4708,1387,Semiurban,Y
LP001882,IP43268,4333,1811,Urban,Y
LP001883,IP43269,3418,0,Rural,N
LP001884,IP43270,2876,1560,Urban,Y
LP001888,IP43271,3237,0,Urban,Y
LP001891,IP43272,11146,0,Urban,Y
LP001892,IP43273,2833,1857,Rural,Y
LP001894,IP43274,2620,2223,Semiurban,Y
LP001896,IP43275,3900,0,Semiurban,Y
LP001900,IP43276,2750,1842,Semiurban,Y
LP001903,IP43277,3993,3274,Semiurban,Y
LP001904,IP43278,3103,1300,Urban,Y
LP001907,IP43279,14583,0,Semiurban,Y
LP001908,IP43280,4100,0,Rural,Y
LP001910,IP43281,4053,2426,Urban,N
LP001914,IP43282,3927,800,Semiurban,Y
LP001915,IP43283,2301,985.7999878,Urban,Y
LP001917,IP43284,1811,1666,Urban,Y
LP001922,IP43285,20667,0,Rural,N
LP001924,IP43286,3158,3053,Rural,Y
LP001925,IP43287,2600,1717,Semiurban,N
LP001926,IP43288,3704,2000,Rural,Y
LP001931,IP43289,4124,0,Semiurban,Y
LP001935,IP43290,9508,0,Rural,Y
LP001936,IP43291,3075,2416,Rural,Y
LP001938,IP43292,4400,0,Semiurban,N
LP001940,IP43293,3153,1560,Urban,Y
LP001945,IP43294,5417,0,Urban,N
LP001947,IP43295,2383,3334,Semiurban,Y
LP001949,IP43296,4416,1250,Urban,Y
LP001953,IP43297,6875,0,Semiurban,Y
LP001954,IP43298,4666,0,Urban,Y
LP001955,IP43299,5000,2541,Rural,N
LP001963,IP43300,2014,2925,Urban,N
LP001964,IP43301,1800,2934,Urban,N
LP001972,IP43302,2875,1750,Semiurban,Y
LP001974,IP43303,5000,0,Rural,Y
LP001977,IP43304,1625,1803,Urban,Y
LP001978,IP43305,4000,2500,Rural,Y
